[Sat Dec 19 14:49:09 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/d5dce59a-a612-11e5-9b1a-00163e0022d3.png, referer: http://120.24.169.214:8000/client/shownews/?src=d5dce59a-a612-11e5-9b1a-00163e0022d3
[Sat Dec 19 06:49:12 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:49:12 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/d5dce59a-a612-11e5-9b1a-00163e0022d3.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:49:13 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/d5dce59a-a612-11e5-9b1a-00163e0022d3.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 06:49:28 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/commodity_imgs/d3ca27ca-a3bc-11e5-b181-00163e0022d3.png, referer: http://120.24.169.214:8000/
[Sat Dec 19 06:49:29 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/brand_imgs/ad2167c8-a3bc-11e5-8295-00163e0022d3.png, referer: http://120.24.169.214:8000/manage/req_brand/
[Sat Dec 19 14:50:23 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:50:23 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 06:50:34 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:50:50 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 06:50:59 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/brand_imgs/ad2167c8-a3bc-11e5-8295-00163e0022d3.png, referer: http://120.24.169.214:8000/client/brand/detail/?brand_id=ad2167c8-a3bc-11e5-8295-00163e0022d3
[Sat Dec 19 06:50:59 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/commodity_imgs/d3ca27ca-a3bc-11e5-b181-00163e0022d3.png, referer: http://120.24.169.214:8000/client/brand/detail/?brand_id=ad2167c8-a3bc-11e5-8295-00163e0022d3
